CH_SA_CODE,CH_SA_NAME,CHSRBRL_CL,CHSPOP_CEN,HLT_A_CODE,HLT_A_NAME,HSD_A_CODE,HSD_A_NAME,HSDA_ID,HAUTH_CODE,HAUTH_NAME,HAUTH_ID,SH_FRM_DQF,LG_FRM_DFQ,SH_FRM_GNR,LG_FRM_GNR,HHI_ST_TTL,HI_AVG_T,HHMDN_T_IN,H_VRG_T_NE,H_MDN_T_NE,HHI_ST_1PT,HI_AVG_1PT,HHMDN_T_1P,H_VRG_T_1E,H_MDN_T_1E,HHI_ST_2PT,HI_AVG_2PT,HHMDN_T_2P,H_VRG_T_2E,H_MDN_T_2E,H_TTL_NCMS,H_G_NDR_5L,H_G_5000_L,HHI_14999T,HHI_19999T,HHI_24999T,H_G_25000L,H_G_30000L,H_G_35000L,H_G_40000L,H_G_45000L,H_G_50000L,H_G_60000L,H_G_70000L,H_G_80000L,H_G_90000L,HHI_100KPT,HHI_125KTL,H_G_12500L,HHI_150KPT,HHI_200KPT,H_TTL_T_NP,H_T_G_NDRL,HHI_9999_T,HI_14999_T,HI_19999_T,H_T_G_200L,H_T_G_250L,H_T_G_300L,H_T_G_350L,H_T_G_400L,H_T_G_450L,HI_59999_T,H_T_G_600L,H_T_G_700L,H_T_G_800L,H_T_G_900L,HI_100KP_T,HI_125K_T,H_T_G_125L,HI_150KP_T,FEAT_AREA,FEAT_LEN,SHAPE,OBJECTID,X,Y
1110,Fernie,5 Rural Hub,15531,111,Fernie,11,East Kootenay,11 EK,1,Interior,1 IHA,00100,00111,7.3,11.700000000000001,6600,105952,98193,85551,79625,1790,58654,44633,47986,39012,4810,123540,112104,99520,92774,6595,25,85,140,220,240,180,195,170,215,185,390,345,325,305,360,3215,1090,745,795,580,6600,25,95,130,215,325,165,220,245,215,275,405,480,530,555,550,2165,950,525,690,8043799485.9054,685419.3675,,539,,
1120,Cranbrook,4 Small Urban,26248,112,Cranbrook,11,East Kootenay,11 EK,1,Interior,1 IHA,00000,00000,4.4,5.9,11040,87920,72666,73859,63109,2920,40868,32927,35131,29363,8115,104872,90295,87812,77661,11035,110,125,270,420,460,445,520,455,475,400,890,785,690,715,635,3640,1235,830,965,615,11040,110,135,290,430,520,575,600,450,555,525,1025,910,935,700,670,2605,1140,630,840,4473711790.7576,488686.1584,,540,,
1130,Kimberley,6 Rural,9178,113,Kimberley,11,East Kootenay,11 EK,1,Interior,1 IHA,00000,00001,6.6000000000000005,9.6,4130,79941,69465,67618,60527,1280,44769,36354,38297,32771,2850,95691,87211,80748,76069,4125,60,55,115,125,180,150,155,195,210,205,400,215,270,285,310,1185,410,380,255,135,4125,60,60,110,140,215,180,200,220,245,290,310,340,345,335,255,825,460,215,150,4345656023.4599,436184.1089,,541,,
1140,Windermere,6 Rural,9487,114,Windermere,11,East Kootenay,11 EK,1,Interior,1 IHA,00100,00111,9,10.6,4100,88290,73000,72721,64256,1060,48278,37250,39835,32090,3035,102247,86268,84193,74742,4095,75,25,45,125,195,110,165,195,195,135,340,330,360,255,275,1275,450,345,280,205,4100,90,35,40,130,210,175,200,175,250,175,445,425,335,265,230,920,450,235,230,10980524675.0368,718982.3125,,542,,
1150,Creston,6 Rural,12634,115,Creston,11,East Kootenay,11 EK,1,Interior,1 IHA,00000,00011,6.6000000000000005,10.1,5685,63867,51482,55836,47031,1780,34356,25607,30753,24529,3905,77331,64749,67280,59041,5685,75,70,235,340,395,315,310,365,365,280,540,465,395,330,175,1015,490,260,145,130,5685,75,65,240,360,445,350,440,360,380,330,635,445,410,290,180,685,400,135,150,3793889979.1517,326678.8118,,543,,
1160,Golden,6 Rural,6851,116,Golden,11,East Kootenay,11 EK,1,Interior,1 IHA,01100,01111,10.1,12.1,2955,81409,70667,68868,61131,855,42574,35848,36216,31680,2105,97165,86807,82115,75273,2955,70,15,85,125,140,90,125,145,110,100,230,225,225,245,185,835,320,225,180,110,2960,75,10,80,135,155,140,135,165,105,135,315,275,275,180,175,600,320,130,145,13347113916.0737,829108.7667,,544,,
1210,Kootenay Lake,6 Rural,3209,121,Kootenay Lake,12,Kootenay Boundary,12 KB,1,Interior,1 IHA,00100,00111,9.3,12.8,1585,69788,47490,58358,43568,540,34912,23523,30819,23395,1045,87789,59439,72572,53233,1585,40,30,70,115,100,110,110,95,80,75,180,110,80,85,60,250,85,80,40,40,1580,45,30,70,115,115,105,150,90,90,105,165,125,85,75,40,170,85,35,50,6543225318.256,610328.7058,,545,,
1220,Nelson,6 Rural,25523,122,Nelson,12,Kootenay Boundary,12 KB,1,Interior,1 IHA,00100,00101,6.5,9,11595,67886,53926,58373,48482,3910,36363,26111,31255,24631,7675,83953,72682,72196,64052,11595,225,240,550,705,765,595,545,630,605,525,960,825,755,605,500,2545,1090,545,635,275,11590,260,235,565,745,870,695,660,680,700,570,1080,890,775,625,570,1670,795,445,430,4809419391.8261,437073.2623,,546,,
1230,Castlegar,5 Rural Hub,13710,123,Castlegar,12,Kootenay Boundary,12 KB,1,Interior,1 IHA,00000,00001,6.2,7.8,5955,81534,71749,69011,61708,1710,43814,35918,37239,31968,4240,96737,89203,81817,76865,5950,60,45,190,235,250,245,270,305,250,255,425,395,375,435,340,1875,740,450,475,210,5950,60,45,205,230,305,270,350,365,250,285,510,440,565,400,405,1260,605,395,265,1942579333.075,287787.627,,547,,
1240,Arrow Lakes,6 Rural,4501,124,Arrow Lakes,12,Kootenay Boundary,12 KB,1,Interior,1 IHA,00100,00111,8.3,12.6,2245,59265,44194,50849,41441,805,34086,25555,28074,24711,1445,73221,63334,63471,56339,2245,40,70,85,155,185,130,230,150,100,115,155,180,125,85,95,360,140,100,75,45,2245,40,75,90,165,185,210,240,100,165,95,180,200,90,120,85,225,115,60,50,7391983570.7426,613575.3493,,548,,
